2024-12-29T11:21:02.434836500-05:00 - INFO - Starting Multi Manager application...
2024-12-29T11:21:02.435103500-05:00 - INFO - Loading workspaces from file...
2024-12-29T11:21:02.435181600-05:00 - INFO - Successfully loaded workspaces from 'workspaces.json'.
2024-12-29T11:21:02.435193-05:00 - INFO - Starting hotkey event handler thread...
2024-12-29T11:21:02.435246800-05:00 - INFO - Launching GUI...
2024-12-29T11:21:02.581342700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.619260500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.621067900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.622214500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.625834900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.630112300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.639000900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.639680-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.642614-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.646795400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.650958600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.655013700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.659245-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.663680600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.667542200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.671731100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.675873600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.680480-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.684631100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.688656700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.692567100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.696993700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.700988800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.705069800-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.709333700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.713714400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.717744900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.721751600-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.726490200-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.730246700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.735094700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.738762500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.742841900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.747389900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.750988500-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.755252900-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.759403300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.763952700-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.767868300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.772845400-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.776816300-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.780403100-05:00 - INFO - Rendering main panel...
2024-12-29T11:21:02.784404500-05:00 - INFO - Rendering main panel...
